id,name,category,nearest_airport,distance_from_airport,entry_fees,age_restriction,specializations,type
1,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
2,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
3,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
4,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
5,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
6,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
7,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
8,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
9,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
10,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
11,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
12,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
13,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
14,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
15,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
16,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
17,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
18,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
19,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
20,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
21,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
22,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
23,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
24,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
25,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
26,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
27,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
28,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
29,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
30,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
31,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
32,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
33,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
34,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
35,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
36,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
37,Mysore Palace,Sightseeing,Kempegowda International Airport,184.0,70.0,None,"Historical palace, architecture",Historical
38,Coorg,Adventure,Mangalore International Airport,160.0,0.0,None,"Trekking, Coffee Plantations",Natural Beauty
39,Marina Beach,Sightseeing,Chennai International Airport,16.0,0.0,None,"Beach, Sunrise",Beach
40,Ramoji Film City,Entertainment,Rajiv Gandhi International Airport,37.0,1000.0,None,"Film sets, Amusement park",Theme Park
41,Meenakshi Temple,Sightseeing,Madurai International Airport,10.0,50.0,None,"Temple, Architecture",Religious
42,Ooty,Adventure,Coimbatore International Airport,88.0,0.0,None,"HillStation, Tea Gardens",Natural Beauty
43,Backwaters,Sightseeing,Cochin International Airport,54.0,0.0,None,"Houseboats, Waterways",Natural Beauty
44,Hampi,Sightseeing,Hubli Airport,144.0,40.0,None,"Ancient Ruins, Temples",Historical
45,Kanyakumari,Sightseeing,Trivandrum International Airport,93.0,10.0,None,"Sunrise, Sunset",Natural Beauty
46,Alleppey,Adventure,Cochin International Airport,82.0,0.0,None,"Backwaters, Houseboats",Natural Beauty
47,Munnar,Adventure,Cochin International Airport,110.0,0.0,None,"TeaGardens, Trekking",Natural Beauty
48,Rameswaram,Sightseeing,Madurai International Airport,163.0,50.0,None,"Temple, Bridge",Religious
49,Kabini,Adventure,Kempegowda International Airport,214.0,0.0,None,"Wildlife Safari, River",Wildlife
50,Mahabalipuram,Sightseeing,Chennai International Airport,55.0,40.0,None,"Shore Temple, Architecture",Historical
51,Varkala Beach,Sightseeing,Trivandrum International Airport,42.0,0.0,None,"Beach, Cliff",Beach
52,Periyar Wildlife Sanctuary,Adventure,Cochin International Airport,190.0,40.0,None,"Wildlife Safari, Boating",Wildlife
53,Kodaikanal,Adventure,Madurai International Airport,120.0,0.0,None,"HillStation, Lake",Natural Beauty
54,Chikmagalur,Adventure,Mangalore International Airport,151.0,0.0,None,"Coffee Plantations, Trekking",Natural Beauty
55,Pondicherry,Sightseeing,Chennai International Airport,135.0,0.0,None,"French Colony, Beaches",Beach
